id;courseline;textdescription;htmldescription;image;image_content_type
1;Cape Moldovan Leu;Multi-lateral;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
2;Infrastructure;Soft;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
3;deliver Assistant;transmit hard drive Pennsylvania;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
4;clicks-and-mortar Awesome Plastic Bike;alarm Fresh View;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
5;Money Market Account virtual;value-added Buckinghamshire panel;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
6;emulation;Senior driver;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
7;overriding Principal;Intelligent Specialist Buckinghamshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
8;deliverables Cambridgeshire;Uruguay;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
9;Customer Holy See (Vatican City State);Forks eyeballs;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
10;Haiti Camp;strategic payment Handmade;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
